"","SEQNOS","DATE_TIME_RECEIVED","DATE_TIME_COMPLETE","CALLTYPE","RESPONSIBLE_COMPANY","RESPONSIBLE_ORG_TYPE","RESPONSIBLE_CITY","RESPONSIBLE_STATE","RESPONSIBLE_ZIP","SOURCE","DESCRIPTION_OF_INCIDENT","TYPE_OF_INCIDENT","INCIDENT_CAUSE","INCIDENT_DATE_TIME","INCIDENT_DTG","INCIDENT_LOCATION","LOCATION_ADDRESS","LOCATION_STREET1","LOCATION_STREET2","LOCATION_NEAREST_CITY","LOCATION_STATE","LOCATION_COUNTY","LOCATION_ZIP","DISTANCE_FROM_CITY","DISTANCE_UNITS","DIRECTION_FROM_CITY","LAT_DEG","LAT_MIN","LAT_SEC","LAT_QUAD","LONG_DEG","LONG_MIN","LONG_SEC","LONG_QUAD","LOCATION_SECTION","LOCATION_TOWNSHIP","LOCATION_RANGE","POTENTIAL_FLAG","FIRE_INVOLVED","FIRE_EXTINGUISHED","ANY_EVACUATIONS","NUMBER_EVACUATED","WHO_EVACUATED","RADIUS_OF_EVACUATION","ANY_INJURIES","NUMBER_INJURED","NUMBER_HOSPITALIZED","ANY_FATALITIES","NUMBER_FATALITIES","ANY_DAMAGES","DAMAGE_AMOUNT","AIR_CORRIDOR_CLOSED","AIR_CORRIDOR_DESC","AIR_CLOSURE_TIME","WATERWAY_CLOSED","WATERWAY_DESC","WATERWAY_CLOSURE_TIME","ROAD_CLOSED","ROAD_DESC","ROAD_CLOSURE_TIME","CLOSURE_DIRECTION","MAJOR_ARTERY","TRACK_CLOSED","TRACK_DESC","TRACK_CLOSURE_TIME","MEDIA_INTEREST","MEDIUM_DESC","ADDITIONAL_MEDIUM_INFO","BODY_OF_WATER","TRIBUTARY_OF","NEAREST_RIVER_MILE_MAKER","RELEASE_SECURED","ESTIMATED_DURATION_OF_RELEASE","RELEASE_RATE","DESC_REMEDIAL_ACTION","STATE_AGENCY_ON_SCENE","STATE_AGENCY_REPORT_NUM","OTHER_AGENCY_NOTIFIED","WEATHER_CONDITIONS","AIR_TEMPERATURE","WIND_SPEED","WIND_DIRECTION","WATER_SUPPLY_CONTAMINATED","SHEEN_SIZE","SHEEN_COLOR","DIRECTION_OF_SHEEN_TRAVEL","SHEEN_ODOR_DESCRIPTION","WAVE_CONDITION","CURRENT_SPEED","CURRENT_DIRECTION","WATER_TEMPERATURE","TRACK_CLOSE_DIR","EMPL_FATALITY","PASS_FATALITY","COMMUNITY_IMPACT","WIND_SPEED_UNIT","EMPLOYEE_INJURIES","PASSENGER_INJURIES","OCCUPANT_FATALITY","CURRENT_SPEED_UNIT","ROAD_CLOSURE_UNITS","TRACK_CLOSURE_UNITS","SHEEN_SIZE_UNITS","ADDITIONAL_INFO","STATE_AGENCY_NOTIFIED","FEDERAL_AGENCY_NOTIFIED","NEAREST_RIVER_MILE_MARKER","SHEEN_SIZE_LENGTH","SHEEN_SIZE_LENGTH_UNITS","SHEEN_SIZE_WIDTH","SHEEN_SIZE_WIDTH_UNITS","OFFSHORE","DURATION_UNIT","RELEASE_RATE_UNIT","RELEASE_RATE_RATE","PASSENGERS_TRANSFERRED","CHRIS_CODE","CAS_NUMBER","UN_NUMBER","AMOUNT_OF_MATERIAL","UNIT_OF_MEASURE","NAME_OF_MATERIAL","IF_REACHED_WATER","AMOUNT_IN_WATER","UNIT_OF_MEASURE_REACH_WATER","Column1","Column2","Column3","Column4","Column5","Column6","Column7","Column8","Column9","Column10","Column11","Column12"
"78976",1238389,"2/22/19 16:22","2/22/19 16:28","INC","TAYLOR ENERGY","PRIVATE ENTERPRISE","NEW ORLEANS","LA","","TELEPHONE","CALLER IS REPORTING A DISCHARGE OF APPROXIMATELY 326.89 GALLONS OF CRUDE OIL INTO MISSISSIPPI CANYON BLOCK 20 OF THE GULF OF MEXICO. DISCHARGE IS FROM A PLATFORM THAT WAS DAMAGED DURING HURRICANE IVAN.","PLATFORM","HURRICANE","2/22/2019 13:30","DISCOVERED","MISSISSIPPI CANYON BLOCK 20","","","","","LA","MISSISSIPPI CANYON 20","",NA,"","",28,56,24,"N",88,58,12,"W","","","","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OIL","000000-00-0",NA,326.89,"GALLON(S)","OIL: CRUDE","YES",326.89,"GALLON(S)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79021",1238437,"2/23/19 13:32","2/23/19 13:37","INC","TAYLOR ENERGY","PRIVATE ENTERPRISE","NEW ORLEANS","LA","","TELEPHONE","CALLER REPORTS THAT A SHEEN WAS OBSERVED DURING AN OVERFLIGHT OF THE PLATFORM DESTROYED BY HURRICANE IVAN. THE SHEEN IS COMING FROM THE DESTROYED PLATFORM.","PLATFORM","HURRICANE","2/23/2019 10:39","DISCOVERED","PLATFORM INCIDENT","MISSISSIPPI CANYON AREA","BLOCK 20","PLATFORM A","","LA","MISSISSIPPI CANYON AREA","",NA,"","",29,1,56,"N",89,0,28,"W","","","","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OIL","000000-00-0",NA,216.56,"GALLON(S)","OIL: CRUDE","YES",216.56,"GALLON(S)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79068",1238496,"2/24/19 12:19","2/24/19 12:24","INC","TAYLOR ENERGY","PRIVATE ENTERPRISE","NEW OREANS","LA","","TELEPHONE","CALLER IS REPORTING THE 66.81 GALLON DISCHARGE OF CRUDE OIL FROM THE DESTROYED TAYLOR PLATFORM DUE TO HURRICANE IVAN.","PLATFORM","HURRICANE","2/24/2019 9:14","DISCOVERED","PLATFORM INCIDENT","","","","","LA","MISSISSIPPI CANYON AREA","",NA,"","",NA,NA,NA,"",NA,NA,NA,"","","","","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OIL","000000-00-0",NA,66.81,"GALLON(S)","OIL: CRUDE","YES",66.81,"GALLON(S)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79141",1238573,"2/25/19 12:47","2/25/19 12:52","INC","TAYLOR ENERGY","PRIVATE ENTERPRISE","NEW ORLEANS","LA","70130","TELEPHONE","CALLER REPORTED CRUDE OIL IS DISCHARGING INTO THE GULF OF MEXICO FROM A PLATFORM THAT WAS DESTROYED BY HURRICANE IVAN.","PLATFORM","HURRICANE","2/25/2019 8:55","DISCOVERED","SEE LAT/LONG:  PLATFORM INCIDENT","","","","VENICE","LA","MISSISSIPPI CANYON 20","",NA,"","",28,56,24,"N",88,58,12,"W","","","","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OIL","000000-00-0",NA,4.71,"GALLON(S)","OIL: CRUDE","YES",4.71,"GALLON(S)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79290",1238738,"2/27/19 11:16","2/27/19 11:22","INC","TAYLOR ENERGY","PRIVATE ENTERPRISE","NEW ORLEANS","LA","70130","TELEPHONE","CALLER IS REPORTING A SHEEN OF APPROXIMATELY 22.39 GALLON DISCHARGE OF CRUDE OIL FROM THE DESTROYED TAYLOR ENERGY PLATFORM DUE TO HURRICANE IVAN.","PLATFORM","HURRICANE","2/27/2019 8:40","DISCOVERED","PLATFORM INCIDENT - 28 56.16N, 88 58.13W","","","","","LA","MISSISSIPPI CANYON AREA","",NA,"","",28,56,10,"N",88,58,8,"W","","","","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OIL","000000-00-0",NA,22.39,"GALLON(S)","OIL: CRUDE","YES",22.39,"GALLON(S)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79411",1238875,"2/28/19 14:33","2/28/19 14:36","INC","TAYLOR ENERGY","PRIVATE ENTERPRISE","NEW ORLEANS","LA","","TELEPHONE","CALLER REPORTED 26.81 GALLONS OF CRUDE OIL WAS RELEASED INTO THE GULF OF MEXICO FROM A PLATFORM DUE TO HURRICANE IVAN.","PLATFORM","HURRICANE","2/28/2019 11:15","OCCURRED","PLATFORM INCIDENT","SEE LAT LONG","BLOCK 20","","VENICE","LA","MISSISSIPPI CANYON AREA","",NA,"","",28,56,24,"N",88,58,12,"W","","","","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OIL","000000-00-0",NA,26.81,"GALLON(S)","OIL: CRUDE","YES",26.81,"GALLON(S)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79566",1239035,"3/2/19 10:36","3/2/19 10:44","INC","TAYLOR ENERGY","PRIVATE ENTERPRISE","NEW ORLEANS","LA","","TELEPHONE","CALLER REPORTS THAT DURING AN OVERFLIGHT, THE CREW DISCOVERED A SHEEN IN THE AREA  OF THE DESTROYED TAYLOR ENERGY PLATFORM.
","PLATFORM","HURRICANE","3/1/2019 12:55","OCCURRED","PLATFORM INCIDENT","SEE LAT/LONG","","","","LA","MISSISSIPPI CANYON 20","",NA,"","",28,56,9,"N",88,58,12,"W","","","","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OIL","000000-00-0",NA,153.7,"GALLON(S)","OIL: CRUDE","YES",153.7,"GALLON(S)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79733",1239237,"3/4/19 19:13","3/4/19 19:16","INC","TAYLOR ENERGY","PRIVATE ENTERPRISE","NEW ORLEANS","LA","","TELEPHONE","CRUDE OIL DISCHARGED FROM A DOWNED PLATFORM AS THE RESULT OF HURRICANE IVAN.","PLATFORM","HURRICANE","3/4/2019 8:35","DISCOVERED","GULF OF MEXICO","LAT: 28N .94'","LONG: -88W .97'","","","LA","MISSISSIPPI CANYON 20","",NA,"","",28,56,24,"N",88,58,12,"W","","","","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OIL","000000-00-0",NA,9.82,"GALLON(S)","OIL: CRUDE","YES",9.82,"GALLON(S)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79770",1239279,"3/5/19 11:44","3/5/19 11:46","INC","TAYLOR ENERGY","PRIVATE ENTERPRISE","NEW ORLEANS","LA","","TELEPHONE","CALLER REPORTED A SHEEN COMING FROM A DOWNED PLATFORM DUE TO DAMAGE FROM HURRICANE IVAN.","PLATFORM","HURRICANE","3/5/2019 8:50","DISCOVERED","PLATFORM INCIDENT","","","","","LA","MISSISSIPPI CANYON 20","",NA,"","",28,55,48,"N",88,58,12,"W","","","","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OIL","000000-00-0",NA,1.3,"GALLON(S)","OIL: CRUDE","YES",1.3,"GALLON(S)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79856",1239381,"3/6/19 12:38","3/6/19 12:42","INC","TAYLOR ENERGY","PRIVATE CITIZEN","NEW ORLEANS","LA","","TELEPHONE","CALLER IS REPORTING THE DISCOVERY OF A SHEEN IN THE GULF OF MEXICO COMING FROM THE TAYLOR ENERGY PLATFORM DESTROYED DURING HURRICANE IVAN.","PLATFORM","HURRICANE","3/6/2019 8:56","DISCOVERED","PLATFORM INCIDENT","MISSISSIPPI CANYON 20","","28.96N 88.94W","","LA","MISSISSIPPI CANYON AREA","",NA,"","",28,57,36,"N",88,56,24,"W","","","","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OIL","000000-00-0",NA,7.77,"GALLON(S)","OIL: CRUDE","YES",7.77,"GALLON(S)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79918",1239461,"3/7/19 11:44","3/7/19 11:49","INC","TAYLOR ENERGY","PRIVATE ENTERPRISE","NEW ORLEANS","LA","70130","TELEPHONE","CALLER REPORTED A CRUDE OIL SHEEN IN THE GULF OF MEXICO FROM A PLATFORM DAMAGED BY A HURRICANE.","PLATFORM","HURRICANE","3/7/2019 8:52","DISCOVERED","PLATFORM INCIDENT/ SEE LAT AND LONG","","","","VENICE","LA","MISSISSIPPI CANYON 20","",NA,"","",28,56,24,"N",88,58,12,"W","","","","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OIL","000000-00-0",NA,591.52,"GALLON(S)","OIL: CRUDE","YES",591.52,"GALLON(S)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80025",1239588,"3/8/19 13:54","3/8/19 13:58","INC","TAYLOR ENERGY","PRIVATE ENTERPRISE","NEW ORLEANS","LA","","TELEPHONE","CALLER REPORTED A CRUDE OIL SHEEN IN THE GULF OF MEXICO FROM A PLATFORM THAT WAS DAMAGED BY HURRICANE IVAN.","PLATFORM","HURRICANE","3/8/2019 9:28","DISCOVERED","PLATFORM INCIDENT/ SEE LAT AND LONG","","","","VENICE","LA","MISSISSIPPI CANYON 20","",NA,"","",28,56,24,"N",88,58,12,"W","","","","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OIL","000000-00-0",NA,258.01,"GALLON(S)","OIL: CRUDE","YES",258.01,"GALLON(S)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80099",1239684,"3/9/19 14:52","3/9/19 14:57","INC","TAYLOR ENERGY","PRIVATE ENTERPRISE","NEW ORLEANS","LA","","TELEPHONE","CALLER REPORTS THAT DURING AN OVERFLIGHT, THE CREW DISCOVERED A SHEEN IN THE AREA  OF THE DESTROYED TAYLOR ENERGY PLATFORM.
","PLATFORM","HURRICANE","3/9/2019 11:39","DISCOVERED","PLATFORM INCIDENT","SEE LAT/LONG","","","","LA","MISSISSIPPI CANYON 20","",NA,"","",28,56,2,"N",88,58,15,"W","","","","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OIL","000000-00-0",NA,146.78,"GALLON(S)","OIL: CRUDE","YES",146.78,"GALLON(S)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80132",1239734,"3/10/19 16:38","3/10/19 16:43","INC","TAYLOR ENERGY","PRIVATE ENTERPRISE","NEW ORLEANS","LA","","TELEPHONE","CALLER REPORTS A SHEEN FROM A PLATFORM DAMAGED DUE TO HURRICANE IVAN.","PLATFORM","HURRICANE","3/10/2019 13:35","DISCOVERED","PLATFORM INCIDENT","","","","","LA","MISSISSIPPI CANYON AREA","",NA,"","",28,56,41,"N",88,57,25,"W","","","","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OUN","000000-00-0",NA,0,"UNKNOWN AMOUNT","UNKNOWN OIL","YES",0,"UNKNOWN AMOUNT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80295",1239924,"3/12/19 18:47","3/12/19 18:52","INC","TAYLOR ENERGY","PRIVATE ENTERPRISE","NEW ORLEANS","LA","","TELEPHONE","CRUDE OIL DISCHARGED FROM A DOWNED PLATFORM AS THE RESULT OF HURRICANE IVAN.","PLATFORM","HURRICANE","3/12/2019 12:57","DISCOVERED","GULF OF MEXICO","LAT: 28N 56.16'","LONG: -88W 58.13'","","","LA","MISSISSIPPI CANYON 20","",NA,"","",28,56,10,"N",88,58,8,"W","","","","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OIL","000000-00-0",NA,305.9,"GALLON(S)","OIL: CRUDE","YES",305.9,"GALLON(S)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80345",1239975,"3/13/19 11:58","3/13/19 12:06","INC","TAYLOR ENERGY","PRIVATE ENTERPRISE","NEW ORLEANS","LA","","TELEPHONE","CALLER REPORTS THAT DURING AN OVERFLIGHT, THE CREW DISCOVERED A SHEEN IN THE AREA  OF THE DESTROYED TAYLOR ENERGY PLATFORM.","PLATFORM","HURRICANE","3/13/2019 9:25","DISCOVERED","PLATFORM INCIDENT","SEE LAT/LONG","","","","LA","MISSISSIPPI CANYON 20","",NA,"","",28,56,10,"N",88,58,8,"W","","","","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OIL","000000-00-0",NA,5.78,"GALLON(S)","OIL: CRUDE","YES",5.78,"GALLON(S)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80446",1240084,"3/14/19 13:53","3/14/19 13:57","INC","TAYLOR ENERGY","PRIVATE ENTERPRISE","NEW ORLEANS","LA","","TELEPHONE","CALLER REPORTS THAT DURING AN OVERFLIGHT A SHEEN WAS DISCOVERED TO BE EMANATING FROM A PLATFORM DESTROYED BY HURRICANE IVAN","PLATFORM","HURRICANE","3/14/2019 11:35","DISCOVERED","PLATFORM INCIDENT","MISSISSIPPI CANYON AREA","BLOCK 20","PLATFORM A","","LA","MISSISSIPPI CANYON AREA","",NA,"","",28,56,24,"N",88,58,12,"W","","","","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OIL","000000-00-0",NA,3,"GALLON(S)","OIL: CRUDE","YES",3,"GALLON(S)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80523",1240169,"3/15/19 14:16","3/15/19 14:23","INC","TAYLOR ENERGY","PRIVATE ENTERPRISE","NEW ORLEANS","LA","","TELEPHONE","CALLER IS REPORTING A DISCHARGE OF APPROXIMATELY 5.33 GALLONS OF CRUDE OIL INTO MISSISSIPPI CANYON BLOCK 20 OF THE GULF OF MEXICO. DISCHARGE IS FROM A PLATFORM THAT WAS DAMAGED DURING HURRICANE IVAN.","PLATFORM","HURRICANE","3/15/2019 10:50","DISCOVERED","MISSISSIPPIS CANYON BLOCK 20","","","","","LA","MISSISSIPPI CANYON 20","",NA,"","",28,55,48,"N",88,58,12,"W","","","","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OIL","000000-00-0",NA,5.33,"GALLON(S)","OIL: CRUDE","YES",5.33,"GALLON(S)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80592",1240244,"3/16/19 13:00","3/16/19 13:06","INC","TAYLOR ENERGY","PRIVATE ENTERPRISE","NEW ORLEANS","LA","","TELEPHONE","CALLER IS REPORTING THE DISCOVERY A SHEEN COMING FROM THE TAYLOR ENERGY PLATFORM WHICH WAS DESTROYED DURING HURRICANE IVAN.","PLATFORM","HURRICANE","3/16/2019 11:22","DISCOVERED","PLATFORM INCIDENT","MISSISSIPPI CANYON 20","","28.93522N, 88.97008W","","LA","MISSISSIPPI CANYON AREA","",NA,"","",28,56,7,"N",88,58,12,"W","","","","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OIL","000000-00-0",NA,26.94,"GALLON(S)","OIL: CRUDE","YES",26.94,"GALLON(S)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80633",1240295,"3/17/19 12:02","3/17/19 12:07","INC","TAYLOR ENERGY","PRIVATE ENTERPRISE","NEW ORLEANS","LA","","TELEPHONE","CALLER REPORTED A SHEEN COMING FROM A DOWNED PLAFORM DUE TO DAMAGE FROM HURRICANE IVAN DURING OVERFLIGHT.","PLATFORM","HURRICANE","3/17/2019 9:10","DISCOVERED","PLATFORM INCIDENT","","","","","LA","MISSISSIPPI CANYON 20","",NA,"","",28,47,57,"N",89,7,25,"W","","","","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OIL","000000-00-0",NA,47.61,"GALLON(S)","OIL: CRUDE","YES",47.61,"GALLON(S)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
