SEQNOS,CHRIS_CODE,CAS_NUMBER,UN_NUMBER,AMOUNT_OF_MATERIAL,UNIT_OF_MEASURE,NAME_OF_MATERIAL,IF_REACHED_WATER,AMOUNT_IN_WATER,UNIT_OF_MEASURE_REACH_WATER
993450,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
993451,BNZ,000071-43-2,,0,UNKNOWN AMOUNT,BENZENE,NO,,
993451,BDI,000000-00-0,,0,UNKNOWN AMOUNT,BUTADIENE,NO,,
993452,OIL,000000-00-0,,0,UNKNOWN AMOUNT,OIL: CRUDE,UNKNOWN,0,UNKNOWN AMOUNT
993453,HCN,000074-90-8,,200,POUND(S),HYDROGEN CYANIDE,NO,,
993454,ODS,000000-00-0,,50,GALLON(S),OIL: DIESEL,NO,,
993455,ODS,000000-00-0,,3,GALLON(S),OIL: DIESEL,YES,3,GALLON(S)
993456,GAS,000000-00-0,,100,GALLON(S),GASOLINE: AUTOMOTIVE (UNLEADED),NO,,
993457,OHY,000000-00-0,,1,OUNCE(S),HYDRAULIC OIL,YES,1,OUNCE(S)
993458,OLB,000000-00-0,,0,UNKNOWN AMOUNT,"OIL, MISC: LUBRICATING",YES,0,UNKNOWN AMOUNT
993459,OIL,000000-00-0,,3,BARREL(S),OIL: CRUDE,NO,,
993460,ONG,000000-00-0,,0,UNKNOWN AMOUNT,NATURAL GAS,NO,,
993461,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
993462,OHY,000000-00-0,,1.5,QUART(S),HYDRAULIC OIL,NO,,
993463,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
993464,OMT,000000-00-0,,0,UNKNOWN AMOUNT,"OIL, MISC: MOTOR",YES,0,UNKNOWN AMOUNT
993465,OLB,000000-00-0,,1,GALLON(S),LUBRICATING OIL,YES,1,GALLON(S)
993467,OTH,000000-00-0,,10,GALLON(S),OTHER OIL (JET A),NO,,
993468,ODS,000000-00-0,,0,UNKNOWN AMOUNT,OIL: DIESEL,YES,0,UNKNOWN AMOUNT
993469,OMT,000000-00-0,,5,GALLON(S),"OIL, MISC: MOTOR",NO,,
993470,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,NO,,
993471,NCC,000000-00-0,,600,POUND(S),PLASTIC PELLETS,NO,,
993473,UNK,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN MATERIAL,UNKNOWN,0,UNKNOWN AMOUNT
993474,OIL,000000-00-0,,0.00064,GALLON(S),OIL: CRUDE,YES,0.00064,GALLON(S)
993477,ODS,000000-00-0,,2000,GALLON(S),OIL: DIESEL,YES,0,UNKNOWN AMOUNT
993479,PRP,000000-00-0,,0,UNKNOWN AMOUNT,PROPANE,NO,,
993483,UNK,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN MATERIAL,NO,,
993485,PRP,000000-00-0,,0,UNKNOWN AMOUNT,PROPANE,NO,,
993486,VAM,000108-05-4,,0,UNKNOWN AMOUNT,VINYL ACETATE,NO,,
993488,ODS,000000-00-0,,20,GALLON(S),OIL: DIESEL,YES,2,GALLON(S)
993489,OIL,000000-00-0,,7,OUNCE(S),OIL: CRUDE,YES,7,OUNCE(S)
993490,GAS,000000-00-0,,10,GALLON(S),GASOLINE: AUTOMOTIVE (UNLEADED),NO,,
